
[5 rows x 21 columns]
         848854489 function calls (835604717 primitive calls) in 803.907 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        3    0.000    0.000    0.000    0.000 ElementTree.py:1233(iterparse)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
1161851/1161850    0.328    0.000    3.066    0.000 ElementTree.py:1251(iterator)
        3    0.000    0.000    0.000    0.000 ElementTree.py:1267(IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
        3    0.000    0.000    0.000    0.000 ElementTree.py:1283(__init__)
     1116    0.002    0.000    1.521    0.001 ElementTree.py:1295(feed)
        2    0.000    0.000    0.000    0.000 ElementTree.py:1305(_close_and_return_root)
  1162969    0.754    0.000    1.072    0.000 ElementTree.py:1319(read_events)
       55    0.001    0.000    0.003    0.000 ElementTree.py:1334(XML)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        2    0.000    0.000    0.000    0.000 ElementTree.py:491(__init__)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        8    0.000    0.000    0.000    0.000 ElementTree.py:536(__init__)
        8    0.000    0.000   68.817    8.602 ElementTree.py:693(write)
       16    0.000    0.000    0.002    0.000 ElementTree.py:758(_get_writer)
        8    9.562    1.195   14.475    1.809 ElementTree.py:810(_namespaces)
      140    0.000    0.000    0.000    0.000 ElementTree.py:821(add_qname)
7324304/8   29.547    0.000   54.340    6.792 ElementTree.py:871(_serialize_xml)
        5    0.000    0.000    0.000    0.000 ElementTree.py:893(<lambda>)
       11    0.000    0.000    0.000    0.000 ElementTree.py:994(register_namespace)
        1    0.000    0.000    0.000    0.000 _3d.py:15(View3D)
        1    0.000    0.000    0.018    0.018 _3d.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _3d.py:51(Surface)
        1    0.000    0.000    0.000    0.000 _3d.py:74(_3DBase)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       57    0.001    0.000    1.110    0.019 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:107(import_lzma)
        5    0.000    0.000    0.530    0.106 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DummyCode)
        1    0.000    0.000    0.000    0.000 __init__.py:127(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:134(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        6    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:15(IntCastingNaNError)
